movie_id,movie_name,release,box_office,avg_price,avg_people,movie_score,movie_category,country,movie_link
1309640,平安中国之守护者,2021-03-19,5383,49.990917,66,暂无评分,剧情,中国大陆,https://piaofang.maoyan.com/movie/1309640
1332663,海底小纵队：火焰之环,2021-01-08,5314,32.566845,6,8.8,"动画,奇幻,冒险","中国大陆,英国",https://piaofang.maoyan.com/movie/1332663
1309249,宝可梦：皮卡丘和可可的冒险,2021-09-10,5146,32.934086,3,8.8,动画,日本,https://piaofang.maoyan.com/movie/1309249
1332048,没有过不去的年,2021-01-15,5079,39.509045,11,8.1,"家庭,剧情",中国大陆,https://piaofang.maoyan.com/movie/1332048
1221,指环王：双塔奇兵,2003-04-25,5055,38.76551,5,9.2,"剧情,动作,奇幻,冒险","美国,新西兰",https://piaofang.maoyan.com/movie/1221
1377099,我没谈完的那场恋爱,2021-06-25,5010,33.412758,3,7.0,"剧情,爱情,音乐",中国大陆,https://piaofang.maoyan.com/movie/1377099
461076,紧急救援,2020-12-18,4661,37.026035,5,9.2,"剧情,灾难,动作",中国大陆,https://piaofang.maoyan.com/movie/461076
335292,丛林奇航,2021-11-12,4489,37.919193,4,8.7,"冒险,动作,喜剧",美国,https://piaofang.maoyan.com/movie/335292
1413602,三湾改编,2021-07-19,4395,32.2778,48,暂无评分,"历史,战争",中国大陆,https://piaofang.maoyan.com/movie/1413602
1211382,阳光劫匪,2021-05-01,4374,36.88604,7,7.2,"喜剧,奇幻,剧情",中国大陆,https://piaofang.maoyan.com/movie/1211382
1432307,济公之降龙降世,2021-07-16,4065,34.790615,4,8.1,"剧情,动画,冒险",中国大陆,https://piaofang.maoyan.com/movie/1432307
1332432,拯救甜甜圈：时空大营救,2021-10-03,3838,37.438282,7,8.9,"喜剧,动画,冒险","美国,中国大陆",https://piaofang.maoyan.com/movie/1332432
1263157,波斯语课,2021-03-19,3632,37.346718,4,9.1,"剧情,战争","俄罗斯,德国,白俄罗斯",https://piaofang.maoyan.com/movie/1263157
1204092,不老奇事,2021-11-05,3611,34.237503,4,8.4,"爱情,剧情",中国大陆,https://piaofang.maoyan.com/movie/1204092
1453486,曾经相爱的我们,2021-12-10,3603,34.027603,3,暂无评分,"剧情,爱情",中国大陆,https://piaofang.maoyan.com/movie/1453486
1296950,老鹰抓小鸡,2021-10-01,3479,33.65548,7,8.9,动画,中国大陆,https://piaofang.maoyan.com/movie/1296950
428,指环王：王者无敌,2004-03-15,3375,39.928894,6,9.5,"剧情,动作,奇幻,冒险","美国,新西兰",https://piaofang.maoyan.com/movie/428
1218187,感动她77次,2021-05-14,3225,33.201756,3,7.3,"爱情,喜剧",中国香港,https://piaofang.maoyan.com/movie/1218187
1297927,困在时间里的父亲,2021-06-18,3163,39.8528,7,8.8,剧情,"法国,英国",https://piaofang.maoyan.com/movie/1297927
1284360,一百零八,2021-05-15,3129,46.383396,7,暂无评分,剧情,中国大陆,https://piaofang.maoyan.com/movie/1284360
1336813,我的父亲焦裕禄,2021-08-06,3078,44.004967,11,9.5,"剧情,传记",中国大陆,https://piaofang.maoyan.com/movie/1336813
1322057,明天会好的,2021-04-02,3056,36.899105,4,6.9,"爱情,喜剧",中国大陆,https://piaofang.maoyan.com/movie/1322057
1284955,二哥来了怎么办,2021-07-16,3051,33.52981,2,8.4,"喜剧,青春,家庭",中国大陆,https://piaofang.maoyan.com/movie/1284955
1250708,你的世界如果没有我,2021-12-03,3035,35.24833,3,暂无评分,"青春,爱情",中国大陆,https://piaofang.maoyan.com/movie/1250708
1229373,21座桥,2021-03-19,2864,34.81583,3,8.7,"动作,悬疑,剧情",美国,https://piaofang.maoyan.com/movie/1229373
1251207,测谎人,2021-08-13,2789,35.12206,4,6.0,"剧情,喜剧",中国大陆,https://piaofang.maoyan.com/movie/1251207
622,天书奇谭 纪念版,2021-11-05,2772,36.743946,4,9.0,"动画,奇幻",中国大陆,https://piaofang.maoyan.com/movie/622
346427,兔子暴力,2021-08-14,2667,34.15319,3,7.1,"剧情,家庭,青春",中国大陆,https://piaofang.maoyan.com/movie/346427
1378928,大城大楼,2021-07-23,2586,44.151688,32,暂无评分,"青春,剧情",中国大陆,https://piaofang.maoyan.com/movie/1378928
1375624,潜艇总动员：地心游记,2021-06-12,2520,32.56287,6,8.2,"动画,喜剧,冒险",中国大陆,https://piaofang.maoyan.com/movie/1375624
1174000,日常幻想指南,2021-09-19,2486,33.104042,3,7.9,"喜剧,奇幻,爱情",中国大陆,https://piaofang.maoyan.com/movie/1174000
1358557,武汉日夜,2021-01-22,2430,31.843994,3,8.5,纪录片,中国大陆,https://piaofang.maoyan.com/movie/1358557
1284493,歌声的翅膀,2021-03-28,2268,44.869152,34,暂无评分,"剧情,歌舞",中国大陆,https://piaofang.maoyan.com/movie/1284493
1355028,迷你特工队之拯救恐龙王,2021-11-27,2257,30.351992,5,8.5,动画,中国大陆,https://piaofang.maoyan.com/movie/1355028
1300146,白蛇传·情,2021-05-20,2244,38.662254,5,9.1,"戏曲,剧情,爱情",中国大陆,https://piaofang.maoyan.com/movie/1300146
25348,崖上的波妞,2020-12-31,2186,31.561205,5,9.1,"动画,奇幻,冒险",日本,https://piaofang.maoyan.com/movie/25348
1236599,兰心大剧院,2021-10-15,2171,38.464195,3,7.6,剧情,中国大陆,https://piaofang.maoyan.com/movie/1236599
1302490,赤焰,2020-09-25,2058,36.830738,22,暂无评分,战争,中国大陆,https://piaofang.maoyan.com/movie/1302490
1221095,再见，少年,2021-08-27,2025,35.951168,2,7.5,"青春,剧情",中国大陆,https://piaofang.maoyan.com/movie/1221095
1207687,普罗米亚,2021-06-05,2014,35.46556,4,9.4,"动作,科幻,动画",日本,https://piaofang.maoyan.com/movie/1207687
1218437,日不落酒店,2021-03-19,2009,33.682774,2,3.8,"喜剧,奇幻",中国大陆,https://piaofang.maoyan.com/movie/1218437
718,天堂电影院,2021-06-11,2000,37.862797,4,9.3,"剧情,爱情",意大利,https://piaofang.maoyan.com/movie/718
